2026-05-06 16:03:17,311 - INFO - Encoding video to base64, size=12702694 bytes, mime=video/mp4
2026-05-06 16:04:32,652 - INFO - Encoding video to base64, size=7464408 bytes, mime=video/mp4
2026-05-06 16:05:28,995 - INFO - Encoding video to base64, size=28036373 bytes, mime=video/mp4
2026-05-06 16:06:37,864 - INFO - Encoding video to base64, size=29109662 bytes, mime=video/mp4
2026-05-06 16:08:17,745 - INFO - Encoding video to base64, size=7262369 bytes, mime=video/mp4
2026-05-06 16:08:54,635 - INFO - Encoding video to base64, size=6750037 bytes, mime=video/mp4
2026-05-06 16:09:45,579 - INFO - Encoding video to base64, size=12562815 bytes, mime=video/mp4
2026-05-06 16:10:48,678 - INFO - Encoding video to base64, size=8627864 bytes, mime=video/mp4
2026-05-06 16:11:34,138 - INFO - Encoding video to base64, size=11167359 bytes, mime=video/mp4
2026-05-06 16:12:32,303 - INFO - Encoding video to base64, size=11510486 bytes, mime=video/mp4
2026-05-06 16:13:25,427 - INFO - Encoding video to base64, size=12410260 bytes, mime=video/mp4
2026-05-06 16:14:52,497 - INFO - Encoding video to base64, size=30138813 bytes, mime=video/mp4
2026-05-06 16:16:25,761 - INFO - Encoding video to base64, size=2871755 bytes, mime=video/mp4
2026-05-06 16:17:11,366 - INFO - Encoding video to base64, size=51765893 bytes, mime=video/mp4
2026-05-06 16:17:46,978 - INFO - Encoding video to base64, size=28998525 bytes, mime=video/mp4
2026-05-06 16:50:26,838 - INFO - Encoding video to base64, size=12702694 bytes, mime=video/mp4
2026-05-06 16:51:22,796 - INFO - Encoding video to base64, size=7464408 bytes, mime=video/mp4
2026-05-06 16:52:37,267 - INFO - Encoding video to base64, size=28036373 bytes, mime=video/mp4
2026-05-06 16:54:02,023 - INFO - Encoding video to base64, size=29109662 bytes, mime=video/mp4
2026-05-06 16:56:15,788 - INFO - Encoding video to base64, size=7262369 bytes, mime=video/mp4
2026-05-06 16:56:55,587 - INFO - Encoding video to base64, size=6750037 bytes, mime=video/mp4
2026-05-06 16:57:56,763 - INFO - Encoding video to base64, size=12562815 bytes, mime=video/mp4
2026-05-06 16:58:48,096 - INFO - Encoding video to base64, size=8627864 bytes, mime=video/mp4
2026-05-06 16:59:45,357 - INFO - Encoding video to base64, size=11167359 bytes, mime=video/mp4
2026-05-06 17:00:52,581 - INFO - Encoding video to base64, size=11510486 bytes, mime=video/mp4
2026-05-06 17:02:14,725 - INFO - Encoding video to base64, size=12410260 bytes, mime=video/mp4
2026-05-06 17:03:41,599 - INFO - Encoding video to base64, size=30138813 bytes, mime=video/mp4
2026-05-06 17:06:47,886 - INFO - Encoding video to base64, size=51765893 bytes, mime=video/mp4
2026-05-06 17:29:56,192 - INFO - Encoding video to base64, size=19695123 bytes, mime=video/mp4
2026-05-06 17:31:07,991 - INFO - Encoding video to base64, size=12702694 bytes, mime=video/mp4
2026-05-06 17:32:36,708 - INFO - Encoding video to base64, size=7464408 bytes, mime=video/mp4
2026-05-06 17:33:30,214 - INFO - Encoding video to base64, size=28036373 bytes, mime=video/mp4
2026-05-06 17:35:03,686 - INFO - Encoding video to base64, size=29109662 bytes, mime=video/mp4
2026-05-06 17:37:00,207 - INFO - Encoding video to base64, size=7262369 bytes, mime=video/mp4
2026-05-06 17:37:47,353 - INFO - Encoding video to base64, size=6750037 bytes, mime=video/mp4
2026-05-06 17:38:39,362 - INFO - Encoding video to base64, size=12562815 bytes, mime=video/mp4
2026-05-06 17:39:27,529 - INFO - Encoding video to base64, size=8627864 bytes, mime=video/mp4
2026-05-06 17:40:13,883 - INFO - Encoding video to base64, size=11167359 bytes, mime=video/mp4
2026-05-06 17:41:09,230 - INFO - Encoding video to base64, size=11510486 bytes, mime=video/mp4
2026-05-06 17:42:32,430 - INFO - Encoding video to base64, size=12410260 bytes, mime=video/mp4
2026-05-06 17:43:47,567 - INFO - Encoding video to base64, size=30138813 bytes, mime=video/mp4
2026-05-06 17:45:05,609 - INFO - Encoding video to base64, size=8970965 bytes, mime=video/mp4
2026-05-06 17:46:25,631 - INFO - Encoding video to base64, size=2871755 bytes, mime=video/mp4
2026-05-06 17:47:08,522 - INFO - Encoding video to base64, size=51765893 bytes, mime=video/mp4
2026-05-06 17:47:52,610 - INFO - Encoding video to base64, size=28998525 bytes, mime=video/mp4
2026-05-06 19:53:41,700 - INFO - Encoding video to base64, size=12702694 bytes, mime=video/mp4
2026-05-06 19:54:55,081 - INFO - Encoding video to base64, size=7464408 bytes, mime=video/mp4
2026-05-06 19:56:01,012 - INFO - Encoding video to base64, size=28036373 bytes, mime=video/mp4
2026-05-06 19:57:34,377 - INFO - Encoding video to base64, size=29109662 bytes, mime=video/mp4
2026-05-06 19:59:45,090 - INFO - Encoding video to base64, size=7262369 bytes, mime=video/mp4
2026-05-06 20:04:46,757 - INFO - Encoding video to base64, size=8627864 bytes, mime=video/mp4
2026-05-06 20:05:37,141 - INFO - Encoding video to base64, size=11167359 bytes, mime=video/mp4
2026-05-06 20:07:06,057 - INFO - Encoding video to base64, size=11510486 bytes, mime=video/mp4
2026-05-06 20:07:53,004 - INFO - Encoding video to base64, size=12410260 bytes, mime=video/mp4
2026-05-06 20:09:20,693 - INFO - Encoding video to base64, size=30138813 bytes, mime=video/mp4
2026-05-06 20:10:45,314 - INFO - Encoding video to base64, size=2871755 bytes, mime=video/mp4
2026-05-06 20:11:33,186 - INFO - Encoding video to base64, size=51765893 bytes, mime=video/mp4
2026-05-06 20:12:19,464 - INFO - Encoding video to base64, size=28998525 bytes, mime=video/mp4
